Hocus Pocus,Light American Wheat Ale or Lager,4.5,0,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.",,,,,,,,
Grimbergen Blonde,NULL,6.7,0,,Brouwerij Alken-Maes,Rue Derbque 7,Jumet,Hainaut,Belgium,,32-071-34-02-22,
Widdershins Barleywine,NULL,9.1,0,,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,United States,80501,1-303-772-0258,http://www.lefthandbrewing.com/
Lucifer,NULL,8.5,0,,Brouwerij Liefmans,200 Aalststraat,Oudenaarde,Oost-Vlaanderen,Belgium,,32-055-31-13-92,http://www.liefmans.be/
Bitter,NULL,4,0,,Ridgeway Brewing,6 Chapel Close,South Stoke,Oxford,United Kingdom,,44-(01491)-873474,
Winter Warmer,Old Ale,5.2,0,,Youngs & Company Brewery,26 Osiers Road,London,,England,SW18 1NH,020 8875 7000,http://www.youngs.co.uk
Winter Welcome 2007-2008,NULL,6,0,,Samuel Smith Old Brewery (Tadcaster),High Street,Tadcaster,North Yorkshire,United Kingdom,,44-(01937)-839201,
Oatmeal Stout,American-Style Stout,5,0,,Samuel Smith Old Brewery (Tadcaster),High Street,Tadcaster,North Yorkshire,United Kingdom,,44-(01937)-839201,
Espresso Porter,NULL,0,0,,Empyrean Brewing Company,729 Q Street,Lincoln,Nebraska,United States,68508,1-402-434-5959,
Chocolate Stout,American-Style Stout,0,0,,Fort Collins Brewery,1900-B East Lincoln Avenue,Fort Collins,Colorado,United States,80524,1-970-472-1499,http://www.fortcollinsbrewery.com
Hitachino Nest Real Ginger Brew,NULL,7,0,,Kiuchi Shuzou Goushi Kaisya,"1257, Kounsosu",Ibaraki,Kanto,Japan,,81-029-298-0105,
JuJu Ginger,NULL,4,0,,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,United States,80501,1-303-772-0258,http://www.lefthandbrewing.com/
